HTTrack3.49-2+htsswf+htsjava launched on Tue, 18 Jul 2017 12:42:29 at https://www.rabbitsreviews.com/ https://www.rabbitsreviews.com/Default.aspx +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar +*.gif +*.jpg +*.jpeg +*.png +*.tif +*.bmp +*.mov +*.mpg +*.mpeg +*.avi +*.asf +*.mp3 +*.mp2 +*.rm +*.wav +*.vob +*.qt +*.vid +*.ac3 +*.wma +*.wmv
(winhttrack -Wr3%e3C2%Ps2u1k%s%uN0%I0p3DaK0c8H0%kf2A5000000%c10#L5000000%f0#f -F "Mozilla/4.5 (compatible; HTTrack 3.0x; Windows 98)" -%F "<!-- Mirrored from %s%s by HTTrack Website Copier/3.x [XR&CO'2014], %s -->" -%l "en, *" -P 192.168.2.229:8080 https://www.rabbitsreviews.com/ https://www.rabbitsreviews.com/Default.aspx -O1 "K:\rabbit\rabbit" +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar +*.gif +*.jpg +*.jpeg +*.png +*.tif +*.bmp +*.mov +*.mpg +*.mpeg +*.avi +*.asf +*.mp3 +*.mp2 +*.rm +*.wav +*.vob +*.qt +*.vid +*.ac3 +*.wma +*.wmv )

Information, Warnings and Errors reported for this mirror:
note:	the hts-log.txt file, and hts-cache folder, may contain sensitive information,
	such as username/password authentication for websites mirrored in this project
	do not share these files/folders if you want these information to remain private

13:32:20	Warning: 	Retry after error -4 (Connect Error) at link www.rabbitsreviews.com/c10/Amateur.html (from https://www.rabbitsreviews.com/Default.aspx)
13:32:20	Warning: 	HTML file (0 bytes) retransferred due to lack of cache: www.rabbitsreviews.com/c10/Amateur.html
13:32:20	Warning: 	Retry after error -4 (Connect Error) at link www.rabbitsreviews.com/c11/Anal.html (from https://www.rabbitsreviews.com/Default.aspx)
13:32:20	Warning: 	HTML file (0 bytes) retransferred due to lack of cache: www.rabbitsreviews.com/c11/Anal.html
13:32:20	Warning: 	Retry after error -4 (Connect Error) at link www.rabbitsreviews.com/c12/Asian.html (from https://www.rabbitsreviews.com/Default.aspx)
13:32:20	Warning: 	HTML file (0 bytes) retransferred due to lack of cache: www.rabbitsreviews.com/c12/Asian.html
13:32:20	Warning: 	Retry after error -4 (Connect Error) at link www.rabbitsreviews.com/c58/Ass.html (from https://www.rabbitsreviews.com/Default.aspx)
13:32:20	Warning: 	HTML file (0 bytes) retransferred due to lack of cache: www.rabbitsreviews.com/c58/Ass.html
13:32:20	Warning: 	Retry after error -4 (Connect Error) at link www.rabbitsreviews.com/c31/Babes.html (from https://www.rabbitsreviews.com/Default.aspx)
13:32:20	Warning: 	HTML file (0 bytes) retransferred due to lack of cache: www.rabbitsreviews.com/c31/Babes.html
13:32:20	Warning: 	Retry after error -4 (Connect Error) at link www.rabbitsreviews.com/c13/BBW.html (from https://www.rabbitsreviews.com/Default.aspx)
13:32:20	Warning: 	HTML file (0 bytes) retransferred due to lack of cache: www.rabbitsreviews.com/c13/BBW.html
13:32:20	Warning: 	Retry after error -4 (Connect Error) at link www.rabbitsreviews.com/c20/BDSM.html (from https://www.rabbitsreviews.com/Default.aspx)
13:32:20	Warning: 	HTML file (0 bytes) retransferred due to lack of cache: www.rabbitsreviews.com/c20/BDSM.html
13:32:21	Warning: 	Retry after error -4 (Connect Error) at link www.rabbitsreviews.com/c14/Big-Tits.html (from https://www.rabbitsreviews.com/Default.aspx)
13:32:22	Warning: 	HTML file (0 bytes) retransferred due to lack of cache: www.rabbitsreviews.com/c14/Big-Tits.html
13:32:22	Warning: 	Retry after error -4 (Connect Error) at link www.rabbitsreviews.com/c42/Bisexual.html (from https://www.rabbitsreviews.com/Default.aspx)
13:32:22	Warning: 	HTML file (0 bytes) retransferred due to lack of cache: www.rabbitsreviews.com/c42/Bisexual.html
13:32:22	Warning: 	Retry after error -4 (Connect Error) at link www.rabbitsreviews.com/c46/Bizarre.html (from https://www.rabbitsreviews.com/Default.aspx)
13:32:22	Warning: 	HTML file (0 bytes) retransferred due to lack of cache: www.rabbitsreviews.com/c46/Bizarre.html
13:32:22	Warning: 	Retry after error -4 (Connect Error) at link www.rabbitsreviews.com/c47/Blowjobs.html (from https://www.rabbitsreviews.com/Default.aspx)
13:32:22	Warning: 	HTML file (0 bytes) retransferred due to lack of cache: www.rabbitsreviews.com/c47/Blowjobs.html
13:32:22	Warning: 	Retry after error -4 (Connect Error) at link www.rabbitsreviews.com/c36/Cartoons.html (from https://www.rabbitsreviews.com/Default.aspx)
13:32:22	Warning: 	HTML file (0 bytes) retransferred due to lack of cache: www.rabbitsreviews.com/c36/Cartoons.html
13:32:22	Warning: 	Retry after error -4 (Connect Error) at link www.rabbitsreviews.com/c89/Casting.html (from https://www.rabbitsreviews.com/Default.aspx)
13:32:22	Warning: 	HTML file (0 bytes) retransferred due to lack of cache: www.rabbitsreviews.com/c89/Casting.html
13:32:22	Warning: 	Retry after error -4 (Connect Error) at link www.rabbitsreviews.com/c49/Celebrity.html (from https://www.rabbitsreviews.com/Default.aspx)
13:32:22	Warning: 	HTML file (0 bytes) retransferred due to lack of cache: www.rabbitsreviews.com/c49/Celebrity.html
13:32:22	Warning: 	Retry after error -4 (Connect Error) at link www.rabbitsreviews.com/c34/Cheerleader.html (from https://www.rabbitsreviews.com/Default.aspx)
13:32:22	Warning: 	HTML file (0 bytes) retransferred due to lack of cache: www.rabbitsreviews.com/c34/Cheerleader.html
13:32:23	Warning: 	Retry after error -4 (Connect Error) at link www.rabbitsreviews.com/c48/Creampies.html (from https://www.rabbitsreviews.com/Default.aspx)
13:32:23	Warning: 	HTML file (0 bytes) retransferred due to lack of cache: www.rabbitsreviews.com/c48/Creampies.html
13:32:23	Warning: 	Retry after error -4 (Connect Error) at link www.rabbitsreviews.com/c15/Drunk.html (from https://www.rabbitsreviews.com/Default.aspx)
13:32:23	Warning: 	HTML file (0 bytes) retransferred due to lack of cache: www.rabbitsreviews.com/c15/Drunk.html
